,true,pred,resid
3655,2292.376535694402,1213607.8168974807,1211315.4403617864
596,2442.4489423401437,1198251.738977305,1195809.2900349647
227,1753.4827692745628,1139842.0737450975,1138088.5909758229
3523,1822.6399556077508,1136671.3258987493,1134848.6859431416
221,1712.6146892498457,1125969.1761028913,1124256.5614136416
220,1697.8087974422078,1117696.9290045078,1115999.1202070657
3522,1798.9265509497127,1116797.9544080724,1114999.0278571227
219,1683.8881348047803,1097013.2165926658,1095329.328457861
582,2133.4701834375524,1082868.4618919212,1080734.9917084838
3651,2232.7195960770805,1070642.441014076,1068409.721417999
226,1741.4627457378813,1061761.3365589695,1060019.8738132315
217,1656.21170515967,1058619.1922867608,1056962.9805816012
581,2096.224786769402,1058415.3587863224,1056319.133999553
218,1675.521851274556,1036320.9190095117,1034645.3971582372
578,2032.1324069643545,1036137.0312910585,1034104.8988840942
1578,2101.294550615856,1019793.3856497027,1017692.0910990869
1465,1362.107929065467,1011141.6347779062,1009779.5268488408
1577,2039.8874860928515,1008311.8312532861,1006271.9437671932
1694,2407.5067715670134,999743.4588921929,997335.9521206259
573,1965.870573976528,995149.0068297801,993183.1362558035
576,2013.028127428067,987763.9622171354,985750.9340897073
2316,2018.4747091181755,984294.1250414285,982275.6503323104
572,1955.892959554003,976893.2077803594,974937.3148208054
332,2383.160885693152,964334.5894315101,961951.4285458169
1462,1331.7574619784334,957549.2234881686,956217.4660261901
568,1903.9944028107864,955282.0305305829,953378.0361277721
1691,2294.2054711763903,951256.332547471,948962.1270762946
3517,1652.3996581834454,940821.512495734,939169.1128375506
331,2331.2582842047213,941225.0466297705,938893.7883455658
565,1849.094145758637,940097.4250854241,938248.3309396654
564,1848.7855597455696,938247.4958137576,936398.710254012
1688,2248.6863743440567,936344.2864648156,934095.6000904716
1684,2171.3540656936675,934914.0675395415,932742.7134738478
570,1909.1655563024967,933508.1150457147,931598.9494894121
567,1891.5481002837196,929639.1615423727,927747.613442089
1587,2394.259474417622,920219.9433261845,917825.6838517669
214,1618.572107991015,918768.4657448427,917149.8936368517
1681,2111.248795489156,918893.24603728,916781.9972417908
1677,2028.8292390029983,915316.9160571847,913288.0868181817
561,1793.7263341412347,912961.5981936464,911167.8718595052
1588,2442.63109065304,909241.6002658657,906798.9691752127
324,2003.774159236836,906006.9200621396,904003.1459029028
211,1592.5706707954207,904943.5530987855,903350.9824279901
208,1569.8324313253088,897050.7035046488,895480.8710733234
343,2209.068512297091,897431.7709363479,895222.7024240508
1675,2011.2848873118312,894428.6880450181,892417.4031577063
557,1734.459117449613,892959.0041350973,891224.5450176477
351,3345.919618291466,894531.6979273853,891185.7783090939
314,1810.9231959458411,892111.844841789,890300.9216458432
325,2023.0074680478208,891927.7982713333,889904.7908032855
3635,1689.284452020047,889650.7513673903,887961.4669153702
322,1944.506221838738,883543.8524091141,881599.3461872754
321,1920.353098806844,881337.5735550879,879417.2204562811
318,1877.4989275668115,879487.8813816085,877610.3824540417
555,1719.7779041006308,878816.9393200557,877097.161415955
210,1585.9227733014873,877522.0986815083,875936.1759082068
1667,1814.786101188533,874486.0034033736,872671.2173021851
1672,1955.4479920520205,871912.0922498708,869956.6442578187
1572,1753.4772489536513,870932.0670055493,869178.5897565957
3510,1532.210389906588,860771.7886762673,859239.5782863607
554,1707.5092723083603,858247.9572942663,856540.448021958
315,1836.3710069306069,857838.4432287271,856002.0722217965
1461,1312.1259147475096,852933.0422179427,851620.9163031952
313,1759.8693343376262,847699.0727998292,845939.2034654915
309,1633.7091860411908,846301.869182296,844668.1599962548
203,1544.0739982156551,842188.2180843436,840644.144086128
1204,1322.6039026705782,841521.4329302792,840198.8290276086
3525,1329.6206189246388,840449.1409999235,839119.5203809988
1569,1663.4365532204818,836464.1448720921,834800.7083188716
1665,1734.0247623067896,832041.5703880675,830307.5456257607
1211,1390.6732469920223,827462.3600638103,826071.6868168182
2299,1563.2996789652448,817239.8866889608,815676.5870099956
1662,1466.7139429282445,815264.7403510631,813798.0264081348
3535,1162.5293852979817,813843.0072285013,812680.4778432032
2297,1460.0460257185705,813894.364762987,812434.3187372684
551,1605.9377185525366,812663.4258041518,811057.4880855993
2793,828.7881403422721,805952.2395196623,805123.4513793201
3280,2115.962687462122,804553.2429170734,802437.2802296113
195,1501.8954318703322,802616.9027357366,801115.0073038662
3508,1507.6858627552165,801862.4028609099,800354.7169981548
1455,1259.508733602399,801264.2045814443,800004.6958478419
109,1083.0390613976026,795848.5972727344,794765.5582113368
3623,1466.0289823526505,793102.1964073855,791636.1674250328
3628,1536.8257927584625,792613.3132053119,791076.4874125534
549,1543.6781526432867,792479.3008742956,790935.6227216524
1565,1574.7511498423542,791719.6450038824,790144.89385404
1454,1250.7505917687483,784734.9739055145,783484.2233137457
1660,1305.5495220546018,782303.5944815497,780998.0449594951
1564,1560.9025261417405,776765.9891060953,775205.0865799536
2066,1653.0439347858005,774639.4657695253,772986.4218347395
194,1499.786503553066,773276.8543496904,771777.0678461373
1651,821.0326683198346,772574.2011003284,771753.1684320085
2791,806.0394362572424,772021.6187193566,771215.5792830994
3624,1467.3664997335054,772665.2099362907,771197.8434365572
196,1506.6340115461646,772637.91831442,771131.2843028739
295,893.2339895291393,769632.2628197887,768739.0288302595
1200,1296.4063214425478,769848.9140817658,768552.5077603232
3503,1461.8335853379638,769899.8965788226,768438.0629934847
1452,1226.3552452059862,767829.0712009269,766602.7159557209
3498,1432.537749402279,763508.8627955852,762076.325046183
3617,1378.5590100759043,759492.833390633,758114.2743805571
3274,1884.096705658147,758593.2797859521,756709.1830802939
1192,1253.1253820040456,757085.4960972597,755832.3707152556
3275,1951.7107029403428,757126.2665022803,755174.5557993399
192,1486.863893411464,755827.5162890271,754340.6523956156
1566,1590.6203912359397,751966.2899109424,750375.6695197065
