,true,pred,resid
221,1712.6146892498457,1050177.285097933,1048464.670408683
220,1697.8087974422078,1025880.0343021554,1024182.2255047131
219,1683.8881348047803,1000915.2303159331,999231.3421811283
3523,1822.6399556077508,991202.5022056827,989379.862250075
3655,2292.376535694402,988151.0927121422,985858.7161764478
227,1753.4827692745628,970610.3709412166,968856.888171942
217,1656.21170515967,969847.9226965936,968191.7109914339
3522,1798.9265509497127,966847.7850674108,965048.8585164611
596,2442.4489423401437,939333.3246354582,936890.8756931181
218,1675.521851274556,933040.1669085983,931364.6450573237
226,1741.4627457378813,910908.5200866756,909167.0573409378
1465,1362.107929065467,907991.6646655686,906629.5567365031
582,2133.4701834375524,879031.6094144422,876898.1392310046
581,2096.224786769402,848695.8501844007,846599.6253976313
214,1618.572107991015,845511.4820593781,843892.9099513871
211,1592.5706707954207,842073.5823464227,840481.0116756273
1578,2101.294550615856,839647.2151643893,837545.9206137735
3651,2232.7195960770805,832340.2284294358,830107.5088333586
2316,2018.4747091181755,828704.2123742928,826685.7376651746
1462,1331.7574619784334,827498.9590533866,826167.2015914081
208,1569.8324313253088,823888.7589316445,822318.9265003192
578,2032.1324069643545,821976.3971549612,819944.2647479969
1204,1322.6039026705782,816655.5682241243,815332.9643214537
210,1585.9227733014873,813661.90500556,812075.9822322585
3517,1652.3996581834454,812966.9143427468,811314.5146845634
1577,2039.8874860928515,812905.6156988179,810865.728212725
203,1544.0739982156551,788106.5826842632,786562.5086860476
573,1965.870573976528,782261.0182583147,780295.1476843382
1455,1259.508733602399,780497.410193527,779237.9014599246
576,2013.028127428067,780855.996104224,778842.967976796
572,1955.892959554003,772534.7516804506,770578.8587208966
1454,1250.7505917687483,758608.8169262765,757358.0663345078
1200,1296.4063214425478,757385.6730465889,756089.2667251463
3525,1329.6206189246388,752457.5499540077,751127.9293350831
568,1903.9944028107864,752574.0526850056,750670.0582821948
195,1501.8954318703322,751429.3816395008,749927.4862076305
1461,1312.1259147475096,747682.928157566,746370.8022428185
3510,1532.210389906588,747176.2945413404,745644.0841514339
1452,1226.3552452059862,743710.4718118685,742484.1165666624
3635,1689.284452020047,744079.8209711445,742390.5365191244
570,1909.1655563024967,743494.6999553503,741585.5343990477
567,1891.5481002837196,742151.2762498669,740259.7281495832
196,1506.6340115461646,737827.5058730074,736320.8718614612
564,1848.7855597455696,736690.3876263783,734841.6020666327
565,1849.094145758637,736356.4690933916,734507.3749476329
