YearWeekISO,ReportingCountry,FirstDose,SecondDose,Population
2021-01-04,AT,63288,0,8901064
2021-01-04,BE,81152,0,11522440
2021-01-04,BG,39491,0,6951482
2021-01-04,CY,7700,0,888005
2021-01-04,CZ,140778,13,10693939
2021-01-04,DE,1307131,3500,83166711
2021-01-04,DK,286271,8,5822763
2021-01-04,EE,21490,458,1328976
2021-01-04,EL,177663,104,10718565
2021-01-04,ES,1249198,0,47332614
2021-01-04,FI,126464,0,5525292
2021-01-04,FR,428410,0,67320216
2021-01-04,HR,71157,138,4058165
2021-01-04,HU,208943,0,9769526
2021-01-04,IE,155041,60,4964440
2021-01-04,IS,14834,0,364134
2021-01-04,IT,1983809,141,59641488
2021-01-04,LT,63435,0,2794090
2021-01-04,LU,3930,0,626108
2021-01-04,LV,19282,4,1907675
2021-01-04,MT,11162,26,514564
2021-01-04,NL,33759,0,17407585
2021-01-04,NO,48285,71,5367580
2021-01-04,PL,1104906,120,37958138
2021-01-04,PT,240732,419,10295909
2021-01-04,SE,152169,0,10327589
2021-01-04,SI,61148,4,2095861
2021-01-04,SK,60310,0,5457873
2021-01-11,AT,170424,810,8901064
2021-01-11,BE,284675,97,11522440
2021-01-11,BG,14434,308,6951482
2021-01-11,CY,9824,966,888005
2021-01-11,CZ,196963,1878,10693939
2021-01-11,DE,1043410,39439,83166711
2021-01-11,DK,124636,1909,5822763
2021-01-11,EE,14395,861,1328976
2021-01-11,EL,141264,99,10718565
2021-01-11,ES,1504803,6096,47332614
2021-01-11,FI,242252,18,5525292
2021-01-11,FR,1399124,496,67320216
2021-01-11,HR,43659,913,4058165
2021-01-11,HU,151663,2088,9769526
2021-01-11,IE,143041,48,4964440
2021-01-11,IS,3312,0,364134
2021-01-11,IT,1617484,9465,59641488
2021-01-11,LT,83232,2967,2794090
2021-01-11,LU,4683,0,626108
2021-01-11,LV,23901,16,1907675
2021-01-11,MT,16370,150,514564
2021-01-11,NL,43204,0,17407585
2021-01-11,NO,68607,117,5367580
2021-01-11,PL,1344832,3544,37958138
2021-01-11,PT,151419,3749,10295909
2021-01-11,SE,236349,171,10327589
2021-01-11,SI,39952,436,2095861
2021-01-11,SK,66621,0,5457873
2021-01-18,AT,187078,9254,8901064
2021-01-18,BE,337656,2672,11522440
2021-01-18,BG,9302,13394,6951482
2021-01-18,CY,10167,6894,888005
2021-01-18,CZ,187559,33856,10693939
2021-01-18,DE,859198,496744,83166711
2021-01-18,DK,26651,72291,5822763
2021-01-18,EE,12736,6961,1328976
2021-01-18,EL,248502,12623,10718565
2021-01-18,ES,746620,260703,47332614
2021-01-18,FI,316338,29674,5525292
2021-01-18,FR,2722894,3204,67320216
