,ReportingCountry,YearWeekISO,first_dose_100k,second_dose_100k,cmltve_first_dose,cmltve_second_dose
0,AT,2021-01-04,711.0161212187663,0.0,711.0161212187663,0.0
1,AT,2021-01-11,1914.647507309238,9.100035681127558,2625.6636285280047,9.100035681127558
2,AT,2021-01-18,2101.7487347580022,103.96509900389437,4727.412363286006,113.06513468502192
3,AT,2021-01-25,712.5215592203359,395.5032791585366,5439.933922506342,508.5684138435585
4,AT,2021-02-01,419.1184334816602,1789.583807059471,5859.052355988002,2298.1522209030295
5,AT,2021-02-08,648.5516787655948,1990.5485456570138,6507.604034753597,4288.700766560043
6,AT,2021-02-15,1431.154747342565,894.8143727536394,7938.758782096163,5183.515139313682
7,AT,2021-02-22,2402.297073698155,481.492999039216,10341.055855794319,5665.008138352898
8,AT,2021-03-01,3476.4607916536715,342.2512185060124,13817.51664744799,6007.25935685891
9,AT,2021-03-08,5133.498646903337,695.9617412030743,18951.015294351328,6703.221098061984
10,AT,2021-03-15,4299.53093248178,1078.0733629148156,23250.546226833107,7781.294460976799
11,AT,2021-03-22,3506.9290592675216,2102.0408346687536,26757.475286100627,9883.335295645553
12,AT,2021-03-29,3234.5121886552,1829.0622334588313,29991.987474755828,11712.397529104384
13,AT,2021-04-05,4870.743542569744,3113.4255410364426,34862.73101732557,14825.823070140827
14,AT,2021-04-12,6248.264252453415,2209.4437249299635,41110.995269778985,17035.26679507079
15,AT,2021-04-19,6600.761437059659,1356.2648240704702,47711.75670683864,18391.53161914126
16,AT,2021-04-26,6527.624113252081,1557.8362317134226,54239.38082009072,19949.367850854684
17,AT,2021-05-03,7558.534575192359,2662.3109327154602,61797.91539528308,22611.678783570143
18,AT,2021-05-10,7231.629836612792,2378.7043885989356,69029.54523189587,24990.38317216908
19,AT,2021-05-17,8178.482931928137,4068.816941435316,77208.02816382401,29059.2001136044
20,AT,2021-05-24,5776.972281066624,5292.715567487214,82985.00044489064,34351.91568109161
21,AT,2021-05-31,7000.601276431671,6105.27011152824,89985.60172132231,40457.18579261985
22,AT,2021-06-07,6667.764662741445,7632.795360195142,96653.36638406376,48089.981152814995
23,AT,2021-06-14,5728.640980449081,7690.94571165874,102382.00736451284,55780.92686447373
24,AT,2021-06-21,4764.10460592127,9086.172169978781,107146.11197043411,64867.09903445251
25,AT,2021-06-28,4499.484556003641,9517.581268935935,111645.59652643776,74384.68030338845
26,AT,2021-07-05,3399.593576678025,7828.412423503526,115045.19010311579,82213.09272689198
27,AT,2021-07-12,2480.5798497797564,7047.696769734493,117525.76995289554,89260.78949662647
28,AT,2021-07-19,2050.8334733914958,6311.267956280284,119576.60342628704,95572.05745290675
29,AT,2021-07-26,1270.6121425483516,5673.748666451561,120847.2155688354,101245.80611935831
30,AT,2021-08-02,1258.5686385357976,4718.76171208296,122105.7842073712,105964.56783144127
31,AT,2021-08-09,857.4480534012561,3225.591906765304,122963.23226077245,109190.15973820657
32,AT,2021-08-16,1017.8333736281419,2375.0868435503894,123981.06563440058,111565.24658175696
33,AT,2021-08-23,1066.614058723766,1118.405619822529,125047.67969312434,112683.65220157949
34,AT,2021-08-30,1090.4089668381216,874.996517270295,126138.08865996246,113558.64871884978
35,AT,2021-09-06,1199.699271907269,725.4863014129546,127337.78793186974,114284.13502026274
